It will look something like this .;Giống như thế này đây .
Let me show you how they work .;Để tôi cho bạn thấy chúng hoạt động ra sao .
If so , that means that what we 're in the middle of right now is a transition .;Nếu đúng như vậy , nó có nghĩa là chúng ta đang ở giữa giai đoạn của sự chuyển giao .
At one point , your screen is filled up with leaves .;Vào một thời điểm , màn hình của bạn đầy lá .
At various points , a little letter drops down to me -- and the iPad knows where you live because of GPS -- which is actually addressed to me .;Ở vài thời điểm , một bức thư nhỏ xinh rơi xuống cho tôi -- và chiếc iPad biết bạn đang ở đâu đấy , nhờ hệ GPS -- bức thư gửi đến địa chỉ của tôi .
You can go on the website , download all the design files , make them yourself .;Bạn có thể lên trang web , tải về những file thiết kế và tự làm chúng .
So I 've got now a new generation of programs that are produced by combinations of the programs that did a little bit better job .;Tôi có hiện nay một thế hệ chương trình mới được sản xuất bởi sự kết hợp của các chương trình mà thực hiện công việc tốt hơn một chút .
So this is great . This is the digital meeting the physical .;Điều này thật thú vị . Đây chính là cách công nghệ tiếp cận với đời sống thực .
We had a team of fellows in Boston last year through the Code for America program .;Năm ngoái , chúng tôi có một đội ở Boston tham gia chương trình Code for America .
Procuring software usually takes a couple of years .;Việc cho ra đời một phần mềm thường mất vài năm .
Now why do we draw technology curves in semi-log curves ?;Tại sao chúng ta phải vẽ đường cong kỹ thuật theo những bán đường xong log ?
We 're seeing this process feeding back on itself .;Chúng ta đang thấy quá trình này tự thúc đẩy bản thân nó .
And so I jumped in , I jumped into this world of technology , to see how I could use it to enable magic as opposed to kill it .;Và thế là tôi nhảy vào , nhảy vào thế giới công nghệ này , để xem tôi có thể dùng nó để tạo ra phép màu như thế nào chứ không phải là tiêu diệt nó .
But there 's a main difference : The transistor was only for experts .;Nhưng có một sự khác biệt lớn : Transistor chỉ dành cho chuyên gia .
And one of the things that 's emerged in my short time here is that TED has an identity .;Và một trong những điều nổi bật nhất mà tôi nhận ra được trong khoảng thời gian ngắn tôi đến đây đó là TED có một bản sắn riêng của mình .
Now we all , or a big part of us , use Gmail or one of their competitors , but these services are especially popular in totalitarian states like Iran , where dissidents use foreign services like Gmail because they know they are more trustworthy than the local services and they are encrypted over SSL connections , so the local government can 't snoop on their discussions .;Tất cả chúng ta , hoặc ít nhất là phần lớn chúng ta đang sử dụng Gmail hoặc một ứng dụng email tương tự khác , và những dịch vụ này đặc biệt phổ biến tại các quốc gia chuyên chế như Iran , nơi mà các nhà bất đồng chính kiến sẽ sử dụng các dịch vụ từ nước ngoài như Gmail bởi họ biết rõ Gmail đáng tin cậy hơn các dịch vụ nội địa khác và nó còn được mã hoá bởi giao thức SSL do đó chính phủ không thể nghe lén được các thông tin mà họ trao đổi .
Now there 's a very large community of people that are building the tools that we need to do things together effectively .;Ngày nay có một cộng đồng lớn những người giúp xây dựng các công cụ cần thiết để chúng ta cùng nhau làm việc hiệu quả .
That our visions of technology and design and entertainment and creativity have to be married with visions of humanity , compassion and justice .;rằng tầm nhìn của tất cả chúng ta về công nghệ và những thiết kế , giải trí và sự sáng tạo hẳn phải luôn song hành cùng với tầm nhìn của cả cộng đồng , lòng trắc ẩn và công lý .
And there they make great apps , they work with city staffers .;Ở đó , họ sẽ viết ra nhứng ứng dụng tuyệt vời , làm việc với đội ngũ nhân viên .
Meanwhile the exact same year , at Bell Labs the next revolution was about to be announced , the next building block .;Cũng trong chính năm đó , ở phòng thí nghiệm Bell một cách mạng kế tiếp sắp được công bố , thế hệ tiếp theo của những viên gạch .
We want to encourage a world of creators , of inventors , of contributors , because this world that we live in , this interactive world , is ours .;Chúng tôi muốn cổ vũ thế giới của những nhà kiến tạo , nhà phát minh và những người cống hiến , bởi vì thế giới này , nơi chúng ta đang sống , thế giới tương tác này , là của chúng ta .
Who are they actually supposed to be informing ?;Ai là người trông mong được thông tin ?
And what we found was that , the more funds offered , indeed , there was less participation rate .;Và chúng tôi phát hiện rằng Càng nhiều nguồn được đưa ra thì thật sự , tỉ lệ tham gia càng ít.
We made an application for Layar , augmented reality , to find these AEDs .;Chúng tôi làm một ứng dụng trên Layar nhằm tăng cường khả năng thực tế để tìm được những thiết bị AED này .
And so , in fact , what we 've done is we , humanity , have started abstracting out .;Và trên thực tế , điều chúng ta đã thực hiện là loài người chúng ta , bắt đầu biết chọn lọc .
And that 's great news , because , it turns out , we 're very good at collective action with digital technology .;Đó là một tin vui , bởi chúng ta sẽ có nhiều hơn những hành động cộng động với sự giúp sức của công nghệ điện tử .
And they began building very special structures that did nothing but process information within the community .;Và chúng bắt đầu hình thành nên những cấu hình đặc biệt có tác dụng không gì khác ngoài việc xử lí thông tin trong quần thể .
We made an application for Layar , augmented reality , to find these AEDs .;Chúng tôi làm một ứng dụng trên Layar nhằm tăng cường khả năng thực tế để tìm được những thiết bị AED này .
And the best part about it is they snap together with magnets .;Và phần thú vị nhất về chúng là chúng kết dính với nhau nhờ nam châm .
For example , how a nightlight works , or why an elevator door stays open , or how an iPod responds to touch .;Ví dụ như đèn ngủ hoạt động ra sao , hay tại sao cửa thang máy tự động đóng mở , hay làm sao chiếc iPod phản ứng lại những cái chạm tay .
" It can 't be done " was shown to be wrong .;" Không làm được đâu " bị chứng minh là sai .
We adjust our baseline to the new level , and we don 't recall what was there .;Chúng ta điều chỉnh đường mốc giới của chính mình lên một cấp độ mới mà chúng ta chẳng nhớ trước kia nó như thế nào .
And these are the questions that we have to worry about for the next 50 years .;Đó chính là câu hỏi mà chúng ta sẽ phải lo lắng trong 50 năm tiếp theo .
And we know that it just doesn 't make too much sense to think out 30 , 50 years because everything 's going to be so different that a simple extrapolation of what we 're doing just doesn 't make any sense at all .;Và chúng ta biết rằng nó không có ý nghĩa lắm khi nghĩ về 30 , 50 năm sau vì khi ấy tất cả mọi thứ sẽ trở nên rất khác biệt khiến một phép ngoại suy rất đơn giản mà chúng ta thực hiện hôm nay sẽ không có ý nghĩa gì trong thời điểm ấy .
We love innovation .;Chúng ta thích cải tiến.
So a couple of years ago I started a program to try to get the rockstar tech and design people to take a year off and work in the one environment that represents pretty much everything they 're supposed to hate ; we have them work in government .;Một vài năm trước tôi bắt đầu một chương trình tìm kiếm những siêu sao công nghệ và tạo điều kiện cho họ nghỉ một năm và làm việc trong môi trường dường như họ sẽ rất ghét ; họ phải làm việc cho chính phủ .
And that 's great news , because , it turns out , we 're very good at collective action with digital technology .;Đó là một tin vui , bởi chúng ta sẽ có nhiều hơn những hành động cộng động với sự giúp sức của công nghệ điện tử .
So a couple of years ago I started a program to try to get the rockstar tech and design people to take a year off and work in the one environment that represents pretty much everything they 're supposed to hate ; we have them work in government .;Một vài năm trước tôi bắt đầu một chương trình tìm kiếm những siêu sao công nghệ và tạo điều kiện cho họ nghỉ một năm và làm việc trong môi trường dường như họ sẽ rất ghét ; họ phải làm việc cho chính phủ .
We love technology . We love creativity .;yêu công nghệ , thích sáng tạo
And so over here , each book and each world becomes a little marble that I drag in to this magical device within the device .;Và thế là ở đây , mỗi cuốn sách và mỗi thế giới trở thành một hòn bi nhỏ bé mà tôi kéo vào trong thiết bị nhiệm màu này trong một thiết bị khác .
And I say , " Computer , would you please now take the 10 percent of those random sequences that did the best job .;Và tôi nói , " Máy tính , liệu bạn có thể chọn ra 10 % trong số dãy ngẫu nhiên đó mà thực hiện công việc tốt nhất .
So beyond simple play , littleBits are actually pretty powerful .;Như các bạn đã thấy , không chỉ đơn giản để chơi littleBits còn tỏ ra là một công cụ mạnh .
The conclusion that we came to was that magic had been replaced by machinery .;Kết luận chúng tôi rút ra là phép màu đã ' được ' thay thế bằng máy móc .
In fact , one of the things that I did just for amusement purposes is we can now write things in this code .;Thực tế , một trong những điều tôi đã làm để tiêu khiển là chúng ta giờ có thể lưu trữ nhiều thứ bằng mật mã này .
So how does it happen ?;Vậy điều này xảy đến như thế nào ?
But today in 2011 , if you go and buy a color laser printer from any major laser printer manufacturer and print a page , that page will end up having slight yellow dots printed on every single page in a pattern which makes the page unique to you and to your printer .;Nhưng ngày hôm nay , tại chính thời khắc năm 2011 này nếu bạn có mua một chiếc máy in laser màu từ bất kỳ nhà sản xuất máy in có tên tuổi nào và nếu bạn có thử in ra một trang giấy kết quả là trang giấy đó sẽ có những chấm nhỏ màu vàng nhạt được đánh dấu trên tất cả các tài liệu bạn in ra theo một kiểu ký hiệu nào đó , để từ trang giấy này có thể truy ngược lại nguồn gốc là từ bạn và chiếc máy in của bạn .
I found myself becoming a little bit of a technophobe .;Tự nhiên tôi thấy mình trở thành kẻ sợ công nghệ .
So I felt like our cellphones and our fancy watches and our cameras had stopped us from dreaming .;Thế nên tôi cảm thấy như những chiếc điện thoại di động của chúng ta , những chiếc đồng hồ vui mắt và máy ảnh của chúng ta đã khiến ta thôi mơ mộng .
This is my WiFi scale . It 's a very simple thing .;Đây là chiếc cân điện tử của tôi . Đó là một thiết bị rất đơn giản .
But there 's a main difference : The transistor was only for experts .;Nhưng có một sự khác biệt lớn : Transistor chỉ dành cho chuyên gia .
The program is called Code for America , and it 's a little bit like a Peace Corps for geeks .;Chương trình này được gọi là Code for America và chương trình này khá giống Peace Corps cho dân nghiền máy tính .
But it 's doing something that no other government technology does .;Nhưng nó đã làm một việc mà không một chính phủ nào làm .
So go ahead and start inventing .;Hãy tiến lên và bắt đầu phát minh .
But now with mobile technology , we can actually take our children outside into the natural world with their technology .;Nhưng nay với công nghệ di động , ta có thể mang các em nhỏ ra ngoài , vào thế giới tự nhiên bằng công nghệ .
I have talked about four techniques for mitigating the problem of choice overload -- cut -- get rid of the extraneous alternatives ; concretize -- make it real ; categorize -- we can handle more categories , less choices ; condition for complexity .;Tôi đã nói về bốn kĩ thuật để giải quyết vấn để quá tải trong sự lựa chọn Cắt giảm - Giảm thiểu tối đa những khả năng ngoài luồng . Cụ thể hoá - Làm cho nó thực tế hơn . Phân loại - Chúng ta giải quyết nhiều sự phân loại hơn , thì càng ít sự lựa chọn hơn Điều kiện cho sự phức tạp .
That 's about all it can do .;Đó là tất cả những gì có thể xảy ra .
Now it turns out that even if you do choose to participate when there are more choices present , even then , it has negative consequences .;Bây giờ , nó chỉ ra rằng thậm chí bạn có chọn tham gia khi có nhiều hơn sự lựa chọn hiện tại thậm chí , có có những hậu quả tiêu cực
We 'll just -- we can just skip -- I 'll just skip through the video instead ...;Chúng ta sẽ chỉ -- chúng ta có thể bỏ qua -- tôi sẽ bỏ qua video vậy ...
And we built an iPad application .;Và chúng tôi xây dựng một ứng dụng trên iPad
Let me show you how they work .;Để tôi cho bạn thấy chúng hoạt động ra sao .
Now in order to do that I 'm going to have to talk about a bunch of stuff that really has nothing to do with technology and computers .;Để làm được điều đó tôi sẽ nói về một đống thứ thực sự không có gì liên quan đến công nghệ và máy tính .
And what happens is that you actually create a digital collection of photographs that you can then put up online .;Và điều xảy ra là bạn sẽ tạo ra một bộ sưu tập ảnh kĩ thuật số mà bạn có thể trưng lên mạng .
So when I was a graduate student at Stanford University , I used to go to this very , very upscale grocery store ; at least at that time it was truly upscale .;Khi tôi là sinh viên tốt nghiệp từ đại học Stanford , tôi đã từng vào rất nhiều cửa hàng tạp hoá mắc tiền , lúc đó , tôi thật sự khá giàu ,
It 's not just Code for America fellows , there are hundreds of people all over the country that are standing and writing civic apps every day in their own communities .;Đó không chỉ là các thành viên của Code for America , còn hàng trăm người trên khắp đất nước đang viết nên những ứng dụng mang tính đại chúng hàng ngày trong chính cộng đồng của chúng ta .
But combined , they can create something like this .;Nhưng kết hợp lại , chúng có thể tạo ra một thứ như thế này .
So we 're beginning to depend on computers to do a process that 's very different than engineering .;Vì vậy , chúng ta bắt đầu phụ thuộc vào máy tính để thực hiện một quá trình khác biệt hơn hẳn với thiết kế xây dựng .
So littleBits is open-source .;Thế nên littleBits là dự án mở .
And finally , I believe that , despite the fact that it is so dramatic and so beautiful and so inspiring and so stimulating , we will ultimately not be judged by our technology , we won 't be judged by our design , we won 't be judged by our intellect and reason .;và cuối cùng , tôi tin rằng dù sự thật là điều này rất ly kỳ rất tuyệt , rất hứng thú và rất kích thích nhưng chúng ta cuối cùng sẽ chẳng bị phán xét bởi công nghệ chúng ta làm ra bởi thiết kế của mình , bởi trí tuệ và lý tưởng
Each task was made up of many , many , many sub-choices of course .;Dĩ nhiên , mỗi nhiệm vụ được bao gồm rất nhiều lựa chọn nhỏ
And one of the things we did I would like to share with you introduced by a little video .;Và một trong số những điều mà chúng tôi đã làm tôi xin chia sẻ với các bạn một đoạn phim nho nhỏ .
And during that session , we kept the session exactly the way it used to be , but we added one little thing .;Và trong suốt giai đoạn này chúng tôi giữ lại giai đoạn trước đây nhưng chỉ thêm 1 điều nhỏ
And yet , we don 't quite understand the options of it .;Vậy mà chúng ta vẫn không thực sự hiểu sự lựa chọn của nó .
And you can do this with techniques like this , but also by crowd-sourcing .;Và bạn không chỉ có thể thực hiện với những kỹ thuật kiểu như thế này , mà còn nhờ vào " giải pháp đám đông "
In the 1980s in the communist Eastern Germany , if you owned a typewriter , you had to register it with the government .;Vào thập kỷ 80 tại Đông Đức cũ nếu bạn sở hữu một chiếc máy đánh chữ bạn sẽ phải đăng ký nó với chính quyền
We set up a website and asked the crowd , " If you see an AED , please submit it , tell us where it is , tell us when it 's open , " since sometimes in office hours sometimes it 's closed , of course .;Chúng tôi thiết lập một trang điện tử và hỏi đám đông " Nếu bạn thấy một thiết bị AED , vui lòng gửi lại thông tin cho chúng tôi biết nó ở đâu cho chúng tôi biết khi nó hoạt động " vì đôi khi trong giờ hành chính nó thỉnh thoảng không hoạt động .
So he did what any good developer would do , he wrote an app .;Thế là anh ấy làm công việc mà bất cứ lập trình viên tài giỏi nào cũng sẽ làm là viết một ứng dụng .
But one fellow in particular , a guy named Erik Michaels-Ober , noticed something else , and that 's that citizens are shoveling out sidewalks right in front of these things .;Nhưng một thành viên có tên là Erik Michaels-Ober , chú ý tới một điều khác , đó là việc mọi người vẫn thản nhiên đi bộ trước những thứ đó .
It has an app , a Web and mobile app , called Citizens Connect .;Nó còn có 1 ứng dụng , 1 website và 1 ứng dụng trên điện thoại , mang tên Citizens Connect .
Now here 's a conference in which people talk about the future , and you notice that the future is still at about the year 2000 .;Đây là một hội nghị mà ở đó mọi người bàn về tương lai , và mọi người có thể nhận thấy tương lai đó vẫn xoay quanh năm 2000 .
It can know how we 're holding it .;Nó biết ta đang cầm nó như thế nào .
All right , let me show you some more about this .;Bây giờ tôi sẽ cho bạn thấy nhiều hơn
So we now know of nine cities that are planning to use this .;Hiện tại có chín thành phố đang lên kế hoạch sử dụng ứng dụng này .
And most people get that , but they think that one is the input to the other .;Phần lớn mọi người hiểu điều đó , nhưng họ lại nghĩ rằng cái này là đầu vào cho cái kia .
This is a generation that 's grown up taking their voices pretty much for granted .;Đây là thế hệ dùng tiếng nói của mình để đấu tranh cho quyền lợi .
They had been pushed genetically .;Đã có một sự tác động về gen lên trên loại cá này
Procuring software usually takes a couple of years .;Việc cho ra đời một phần mềm thường mất vài năm .
And there 's nothing precedented in the history of technology development of this kind of self-feeding growth where you go by orders of magnitude every few years .;Và không có tiền lệ trong lịch sử phát triển công nghệ về sự tự tăng tiến bằng cách thay đổi cường độ vài năm một .
But now with mobile technology , we can actually take our children outside into the natural world with their technology .;Nhưng nay với công nghệ di động , ta có thể mang các em nhỏ ra ngoài , vào thế giới tự nhiên bằng công nghệ .
And let me show you a simple example .;Hãy để tôi cho các bạn xem một ví dụ đơn giản này .
I 'm just talking about a platform for people to help themselves and to help others .;Tôi chỉ đang nói về một hệ thống hỗ trợ con người giúp đỡ lẫn nhau .
But now Web video has made it so that any of us or any of the creative things that we do can become completely famous in a part of our world 's culture .;Nhưng bây giờ , các video trên web đã làm được điều đó để bất cứ ai trong chúng ta hay bất cứ sản phẩm sáng tạo nào mà chúng ta làm ra có thể trở nên hoàn toàn nổi tiếng trong một khu vực văn hoá của thế giới chúng ta .
In a world where over two days of video get uploaded every minute , only that which is truly unique and unexpected can stand out in the way that these things have .;Trong một thế giới mà số video có thời lượng hơn 2 ngày được tải lên mỗi phút , chỉ điều thực sự độc đáo và bất ngờ đó có thể gây chú ý theo cái cách mà những điều này có .
Either it 's going to turn into a sort of classical S-curve like this , until something totally different comes along , or maybe it 's going to do this .;Hoặc nó sẽ biến thành một dạng đường cong S như thế này , cho tới khi một việc gì đó khác biệt hoàn toàn xảy ra , hoặc có thể , nó sẽ chuyển thành thế này .
Because all of these technologies are feeding back on themselves .;Bởi tất cả công nghệ này đều tự thúc đẩy bản thân nó phát triển .
Instead of having to program , to wire , to solder , littleBits allow you to program using very simple intuitive gestures .;Thay vì phải lập trình , nối dây hay hàn mạch , littleBits cho phép bạn lập trình bằng những thao tác trực quan đơn giản .
Tell me what you 're trying to do .;và những gì cậu đang cố thực hiện
Now if I look at those programs , I can 't tell you how they work .;Giờ nếu tôi nhìn vào những chương trình ấy , Tôi không thể cho mọi người biết chúng hoạt động như thế nào .
So I felt like our cellphones and our fancy watches and our cameras had stopped us from dreaming .;Thế nên tôi cảm thấy như những chiếc điện thoại di động của chúng ta , những chiếc đồng hồ vui mắt và máy ảnh của chúng ta đã khiến ta thôi mơ mộng .
And these pictures are extraordinary because this transition is very rapid .;Những tấm hình này thật quá sứ tưởng tượng vì sự chuyển dịch này diễn ra quá nhanh chóng
